Nº RGSEAA (*),Razón Social,Provincia/Localidad,Actividades,Especies (**),Otros Detalles,TSE Feed Ban
40.32229/TO,"AUCERO, S.L.",Toledo/TALAVERA DE LA REINA,CS,,,
40.32286/TO,"ALGABEL, S.L.",Toledo/PEPINO,CS,,,
40.32287/CR,"SERFRIO LA MANCHA, S.L.",Ciudad Real/MANZANARES,CS,,,
40.32321/TO,"ENRIQUE JURADO, S.L.",Toledo/ILLESCAS,CS,,,
40.32384/AB,"FRITOS ALPERA, S.A.L.",Albacete/ALPERA,RW,,,
40.32398/TO,"JESPAMAR, S.L.",Toledo/YEBENES (LOS),CS,,,
40.32486/TO,"CARNES COPADO, S.L.",Toledo/TOLEDO,CS,,,
40.32487/TO,"AGIR KEBAP, S.L.",Toledo/SESEÑA,CS,,,
40.32695/CR,"MUÑOZ OLIVARES, ANTONIO",Ciudad Real/CAMPO DE CRIPTANA,CS,,,
10.24098/GU,"OLMEDA VILLAVERDE, LUIS CARLOS 000766603F, S.L.N.E.",Guadalajara/MASEGOSO DE TAJUÑA,"SH, CP, MM, MP, PP","P, C, O",MP,
40.33652/CU,"CESAR Y GREGORIO RAMIREZ, S.L.L.",Cuenca/CUENCA,CS,,,
10.24138/CR,"PALOMARES SÁNCHEZ, JUAN CARLOS",Ciudad Real/MALAGON,"MM, MP, PP",,MP,
10.24139/CR,"HERMANOS SÁEZ ALFARO, S.L.",Ciudad Real/VILLANUEVA DE LA FUENTE,"CP, MM, MP, PP",,MP,
15.07552/GU,"CORACHO DORADO, LUIS",Guadalajara/HITA,PP,,,
40.33966/CU,"CONGELADOS JUCAR, S.A.",Cuenca/MOTILLA DEL PALANCAR,CS,,,
40.34178/CR,"ALDO ALIMENTACIÓN, S.L.",Ciudad Real/SOCUELLAMOS,CS,,,
40.34179/TO,"JIN SHI EUROPA, S.L.",Toledo/BARCIENCE,RW,,,
10.24142/CU,"RODRIGO PINEDO, ISIDORO",Cuenca/HONTANAYA,PP,,MP,
40.34379/TO,"ALIMENTOS ARTESANOS DEL SUR, S.L.",Toledo/TALAVERA DE LA REINA,CS,,,
10.24163/CR,"RACIONERO MONTEALEGRE, FRANCISCO JAVIER",Ciudad Real/ALCAZAR DE SAN JUAN,PP,,MP,
40.34698/TO,"POLLERÍAS BONILLA, S.L.",Toledo/ILLESCAS,CS,,,
